CIDADE	ESTADO
Alta Floresta D'Oeste	Rondônia
Alto Alegre dos Parecis	Rondônia
Alto Paraíso	Rondônia
Alvorada D'Oeste	Rondônia
Ariquemes	Rondônia
Buritis	Rondônia
Cabixi	Rondônia
Cacaulândia	Rondônia
Cacoal	Rondônia
Campo Novo de Rondônia	Rondônia
Candeias do Jamari	Rondônia
Castanheiras	Rondônia
Cerejeiras	Rondônia
Chupinguaia	Rondônia
Colorado do Oeste	Rondônia
Corumbiara	Rondônia
Costa Marques	Rondônia
Cujubim	Rondônia
Espigão D'Oeste	Rondônia
Governador Jorge Teixeira	Rondônia
Guajará-Mirim	Rondônia
Itapuã do Oeste	Rondônia
Jaru	Rondônia
Ji-Paraná	Rondônia
Machadinho D'Oeste	Rondônia
Ministro Andreazza	Rondônia
Mirante da Serra	Rondônia
Monte Negro	Rondônia
Nova Brasilândia D'Oeste	Rondônia
Nova Mamoré	Rondônia
Nova União	Rondônia
Novo Horizonte do Oeste	Rondônia
Ouro Preto do Oeste	Rondônia
Parecis	Rondônia
Pimenta Bueno	Rondônia
Pimenteiras do Oeste	Rondônia
Porto Velho	Rondônia
Presidente Médici	Rondônia
Primavera de Rondônia	Rondônia
Rio Crespo	Rondônia
Rolim de Moura	Rondônia
Santa Luzia D'Oeste	Rondônia
São Felipe D'Oeste	Rondônia
São Francisco do Guaporé	Rondônia
São Miguel do Guaporé	Rondônia
Seringueiras	Rondônia
Teixeirópolis	Rondônia
Theobroma	Rondônia
Urupá	Rondônia
Vale do Anari	Rondônia
Vale do Paraíso	Rondônia
Vilhena	Rondônia
Acrelândia	Acre
Assis Brasil	Acre
Brasiléia	Acre
Bujari	Acre
Capixaba	Acre
Cruzeiro do Sul	Acre
Epitaciolândia	Acre
Feijó	Acre
Jordão	Acre
Mâncio Lima	Acre
Manoel Urbano	Acre
Marechal Thaumaturgo	Acre
Plácido de Castro	Acre
Porto Acre	Acre
Porto Walter	Acre
Rio Branco	Acre
Rodrigues Alves	Acre
Santa Rosa do Purus	Acre
Sena Madureira	Acre
Senador Guiomard	Acre
Tarauacá	Acre
Xapuri	Acre
Alvarães	Amazonas
Amaturá	Amazonas
Anamã	Amazonas
Anori	Amazonas
Apuí	Amazonas
Atalaia do Norte	Amazonas
Autazes	Amazonas
Barcelos	Amazonas
Barreirinha	Amazonas
Benjamin Constant	Amazonas
Beruri	Amazonas
Boa Vista do Ramos	Amazonas
Boca do Acre	Amazonas
Borba	Amazonas
Caapiranga	Amazonas
Canutama	Amazonas
Carauari	Amazonas
Careiro	Amazonas
Careiro da Várzea	Amazonas
Coari	Amazonas
Codajás	Amazonas
Eirunepé	Amazonas
Envira	Amazonas
Fonte Boa	Amazonas
Guajará	Amazonas
Humaitá	Amazonas
Ipixuna	Amazonas
Iranduba	Amazonas
Itacoatiara	Amazonas
Itamarati	Amazonas
Itapiranga	Amazonas
Japurá	Amazonas
Juruá	Amazonas
Jutaí	Amazonas
Lábrea	Amazonas
Manacapuru	Amazonas
Manaquiri	Amazonas
Manaus	Amazonas
Manicoré	Amazonas
Maraã	Amazonas
Maués	Amazonas
Nhamundá	Amazonas
Nova Olinda do Norte	Amazonas
Novo Airão	Amazonas
Novo Aripuanã	Amazonas
Parintins	Amazonas
Pauini	Amazonas
Presidente Figueiredo	Amazonas
Rio Preto da Eva	Amazonas
Santa Isabel do Rio Negro	Amazonas
Santo Antônio do Içá	Amazonas
São Gabriel da Cachoeira	Amazonas
São Paulo de Olivença	Amazonas
São Sebastião do Uatumã	Amazonas
Silves	Amazonas
Tabatinga	Amazonas
Tapauá	Amazonas
Tefé	Amazonas
Tonantins	Amazonas
Uarini	Amazonas
Urucará	Amazonas
Urucurituba	Amazonas
Alto Alegre	Roraima
Amajari	Roraima
Boa Vista	Roraima
Bonfim	Roraima
Cantá	Roraima
Caracaraí	Roraima
Caroebe	Roraima
Iracema	Roraima
Mucajaí	Roraima
Normandia	Roraima
Pacaraima	Roraima
Rorainópolis	Roraima
São João da Baliza	Roraima
São Luiz	Roraima
Uiramutã	Roraima
Abaetetuba	Pará
Abel Figueiredo	Pará
Acará	Pará
Afuá	Pará
Água Azul do Norte	Pará
Alenquer	Pará
Almeirim	Pará
Altamira	Pará
Anajás	Pará
Ananindeua	Pará
Anapu	Pará
Augusto Corrêa	Pará
Aurora do Pará	Pará
Aveiro	Pará
Bagre	Pará
Baião	Pará
Bannach	Pará
Barcarena	Pará
Belém	Pará
Belterra	Pará
Benevides	Pará
Bom Jesus do Tocantins	Pará
Bonito	Pará
Bragança	Pará
Brasil Novo	Pará
Brejo Grande do Araguaia	Pará
Breu Branco	Pará
Breves	Pará
Bujaru	Pará
Cachoeira do Arari	Pará
Cachoeira do Piriá	Pará
Cametá	Pará
Canaã dos Carajás	Pará
Capanema	Pará
Capitão Poço	Pará
Castanhal	Pará
Chaves	Pará
Colares	Pará
Conceição do Araguaia	Pará
Concórdia do Pará	Pará
Cumaru do Norte	Pará
Curionópolis	Pará
Curralinho	Pará
Curuá	Pará
Curuçá	Pará
Dom Eliseu	Pará
Eldorado do Carajás	Pará
Faro	Pará
Floresta do Araguaia	Pará
Garrafão do Norte	Pará
Goianésia do Pará	Pará
Gurupá	Pará
Igarapé-Açu	Pará
Igarapé-Miri	Pará
Inhangapi	Pará
Ipixuna do Pará	Pará
Irituia	Pará
Itaituba	Pará
Itupiranga	Pará
Jacareacanga	Pará
Jacundá	Pará
Juruti	Pará
Limoeiro do Ajuru	Pará
Mãe do Rio	Pará
Magalhães Barata	Pará
Marabá	Pará
Maracanã	Pará
Marapanim	Pará
Marituba	Pará
Medicilândia	Pará
Melgaço	Pará
Mocajuba	Pará
Moju	Pará
Mojuí dos Campos	Pará
Monte Alegre	Pará
Muaná	Pará
