RUA	NÚMERO	REGIÃO	COMPLEMENTO
1	1	Cemitério São João Batista	Novo
1	2	Cemitério São João Batista	Novo
1	3	Cemitério São João Batista	Novo
1	4	Cemitério São João Batista	Novo
1	5	Cemitério São João Batista	Novo
1	6	Cemitério São João Batista	Novo
1	7	Cemitério São João Batista	Novo
1	8	Cemitério São João Batista	Novo
1	9	Cemitério São João Batista	Novo
1	10	Cemitério São João Batista	Novo
1	11	Cemitério São João Batista	Novo
1	12	Cemitério São João Batista	Novo
1	13	Cemitério São João Batista	Novo
1	14	Cemitério São João Batista	Novo
1	15	Cemitério São João Batista	Novo
1	16	Cemitério São João Batista	Novo
1	17	Cemitério São João Batista	Novo
1	18	Cemitério São João Batista	Novo
1	19	Cemitério São João Batista	Novo
1	20	Cemitério São João Batista	Novo
1	21	Cemitério São João Batista	Novo
1	22	Cemitério São João Batista	Novo
1	23	Cemitério São João Batista	Novo
1	24	Cemitério São João Batista	Novo
1	25	Cemitério São João Batista	Novo
1	26	Cemitério São João Batista	Novo
1	27	Cemitério São João Batista	Novo
1	28	Cemitério São João Batista	Novo
1	29	Cemitério São João Batista	Novo
1	30	Cemitério São João Batista	Novo
1	31	Cemitério São João Batista	Novo
1	32	Cemitério São João Batista	Novo
1	33	Cemitério São João Batista	Novo
1	34	Cemitério São João Batista	Novo
1	35	Cemitério São João Batista	Novo
1	36	Cemitério São João Batista	Novo
1	37	Cemitério São João Batista	Novo
1	38	Cemitério São João Batista	Novo
1	39	Cemitério São João Batista	Novo
1	40	Cemitério São João Batista	Novo
2	1	Cemitério São João Batista	Novo
2	2	Cemitério São João Batista	Novo
2	3	Cemitério São João Batista	Novo
2	4	Cemitério São João Batista	Novo
2	5	Cemitério São João Batista	Novo
2	6	Cemitério São João Batista	Novo
2	7	Cemitério São João Batista	Novo
2	8	Cemitério São João Batista	Novo
2	9	Cemitério São João Batista	Novo
2	10	Cemitério São João Batista	Novo
2	11	Cemitério São João Batista	Novo
2	12	Cemitério São João Batista	Novo
2	13	Cemitério São João Batista	Novo
2	14	Cemitério São João Batista	Novo
2	15	Cemitério São João Batista	Novo
2	16	Cemitério São João Batista	Novo
2	17	Cemitério São João Batista	Novo
2	18	Cemitério São João Batista	Novo
2	19	Cemitério São João Batista	Novo
2	20	Cemitério São João Batista	Novo
2	21	Cemitério São João Batista	Novo
2	22	Cemitério São João Batista	Novo
2	23	Cemitério São João Batista	Novo
2	24	Cemitério São João Batista	Novo
2	25	Cemitério São João Batista	Novo
2	26	Cemitério São João Batista	Novo
2	27	Cemitério São João Batista	Novo
2	28	Cemitério São João Batista	Novo
2	29	Cemitério São João Batista	Novo
2	30	Cemitério São João Batista	Novo
2	31	Cemitério São João Batista	Novo
2	32	Cemitério São João Batista	Novo
2	33	Cemitério São João Batista	Novo
2	34	Cemitério São João Batista	Novo
2	35	Cemitério São João Batista	Novo
2	36	Cemitério São João Batista	Novo
2	37	Cemitério São João Batista	Novo
2	38	Cemitério São João Batista	Novo
2	39	Cemitério São João Batista	Novo
2	40	Cemitério São João Batista	Novo
3	1	Cemitério São João Batista	Novo
3	2	Cemitério São João Batista	Novo
